Ambient_Temp_C,Total_Load_kW,Current_Temp_C,Future_Temp_30Min_C
35.6,71.3,62.1,78.2
28.3,82.1,59.2,74.6
21.6,64.7,48.1,61.4
27.8,13.5,32.1,34.7
28.1,77.4,63.2,80.2
38.2,88.8,77.6,96.8
35.9,55.8,58.3,68.5
42.2,93.3,83.4,104.8
31.8,35.0,48.8,54.1
23.0,34.3,35.8,44.8
37.8,27.8,44.9,50.3
39.0,120.9,88.3,111.8
34.0,103.2,74.0,96.1
39.3,101.1,80.1,101.6
32.3,52.1,53.4,65.3
33.1,74.8,63.1,79.4
30.7,89.3,67.5,87.3
20.6,36.5,32.8,41.4
22.7,28.5,34.9,38.9
20.8,116.9,66.7,91.7
35.9,77.9,67.5,83.0
27.9,118.0,77.0,99.9
32.7,47.2,49.1,58.8
42.7,87.3,77.1,95.7
26.2,34.5,39.8,47.4
30.3,38.7,44.7,54.5
38.9,66.3,67.2,82.9
25.7,45.2,42.3,52.5
21.9,28.4,32.2,39.0
27.2,38.9,41.4,49.8
24.0,13.9,31.8,35.6
43.2,87.5,77.3,96.5
40.2,64.1,66.8,80.1
35.8,127.5,94.4,111.3
41.8,28.9,53.2,58.5
40.1,21.3,50.8,57.3
24.7,77.4,59.0,72.8
42.3,20.4,52.5,57.8
33.5,93.0,70.6,92.3
40.2,12.3,46.4,46.0
42.4,37.4,54.8,63.1
28.0,108.0,69.6,93.5
22.8,89.0,57.2,76.4
25.7,18.0,37.4,41.3
30.7,100.3,69.2,90.6
40.5,64.2,64.5,76.5
41.5,118.9,87.1,105.4
20.2,76.1,51.7,66.8
32.8,85.0,67.1,85.5
30.4,119.3,80.3,104.2
25.6,35.6,41.1,45.0
23.0,78.6,51.7,67.1
28.4,60.6,51.1,61.8
43.6,14.3,52.0,56.4
28.1,11.6,32.3,33.9
33.0,23.1,44.6,48.4
37.6,81.4,69.8,85.4
29.1,72.4,56.1,71.6
44.3,70.9,72.0,85.9
44.1,13.5,47.5,52.0
26.3,61.6,49.8,63.3
32.4,111.7,77.5,100.1
27.5,53.7,50.0,62.5
27.1,78.7,55.4,72.3
20.9,95.8,59.2,79.3
35.2,96.2,72.6,90.7
32.6,67.1,58.1,72.2
21.3,104.4,63.3,85.7
27.0,53.1,47.1,60.3
42.7,107.8,88.6,109.8
26.0,36.4,42.9,53.8
23.6,40.8,42.3,51.5
32.2,15.8,37.6,38.7
44.6,97.5,81.7,101.1
26.1,55.9,48.6,62.4
36.8,35.2,50.6,59.9
39.0,35.5,52.0,59.6
25.9,109.2,67.3,90.6
38.2,101.7,78.8,98.4
29.2,70.9,56.7,73.7
35.8,77.8,68.3,83.0
35.8,62.2,62.0,76.2
33.4,53.1,56.8,69.8
22.3,110.7,64.0,87.6
40.9,23.8,51.2,57.6
28.0,56.0,49.0,63.7
24.7,47.9,41.4,52.1
21.0,64.8,46.1,59.5
34.8,103.7,89.9,110.4
36.9,67.1,63.0,76.1
20.4,25.4,33.7,37.6
32.8,66.4,60.5,75.0
25.7,36.7,39.5,47.1
36.1,30.3,50.6,57.2
24.4,17.1,32.1,33.4
37.3,93.9,73.0,92.7
29.7,57.0,56.2,69.3
43.4,78.9,75.5,90.4
23.4,90.0,59.5,78.4
28.5,84.7,60.7,75.9
22.8,61.8,49.9,60.7
43.1,52.7,65.2,77.4
41.9,51.4,63.7,73.9
26.4,80.4,57.6,77.3
36.5,64.4,63.9,78.0
40.4,103.4,83.6,105.9
33.9,106.2,75.0,95.9
33.2,28.8,41.9,47.7
26.0,25.0,37.2,41.2
22.3,79.3,50.9,66.3
42.4,43.1,60.0,70.0
42.5,12.0,46.4,50.3
35.8,107.8,81.4,104.3
28.5,35.0,41.7,47.9
28.7,112.2,75.8,99.7
38.1,109.2,91.7,114.6
42.4,93.9,82.0,103.5
42.2,32.2,59.2,63.6
39.5,35.8,51.7,57.7
36.1,67.3,63.6,77.8
22.1,28.9,39.2,45.0
24.0,43.6,41.6,50.6
42.5,45.4,60.7,68.6
35.2,27.6,47.8,55.1
20.2,32.6,33.3,37.6
22.5,96.7,57.8,76.3
36.6,28.4,50.2,55.8
20.1,13.1,21.4,22.6
24.0,79.2,54.9,73.4
33.7,117.4,83.1,105.7
37.3,46.4,55.2,67.3
36.3,23.1,44.1,50.7
25.6,72.7,56.5,73.4
37.8,109.7,80.0,106.0
25.9,96.2,62.0,82.6
28.1,78.5,60.1,75.0
38.7,44.7,56.2,65.4
36.2,69.6,61.6,75.6
41.2,20.0,50.5,53.5
36.4,84.7,71.2,89.2
34.2,89.8,69.4,87.8
22.3,116.2,68.2,91.5
29.2,38.6,45.6,53.2
26.6,12.0,33.8,36.9
26.1,70.0,53.5,69.7
44.3,87.7,80.7,96.6
29.8,96.9,69.7,89.5
42.3,31.3,56.6,62.8
35.8,38.8,51.4,57.7
39.9,66.4,64.6,78.5
32.6,46.4,50.2,60.2
34.4,104.7,77.0,99.7
32.3,62.1,60.8,73.6
24.9,98.0,63.1,82.4
38.1,73.9,69.2,87.6
27.0,95.0,64.4,85.6
20.6,46.6,39.5,50.1
36.1,101.5,79.7,102.3
24.4,40.2,42.0,50.7
43.5,70.1,69.1,85.9
43.8,33.5,56.1,63.4
42.9,62.3,70.3,83.1
29.3,45.0,47.5,57.9
20.4,39.3,33.8,44.7
43.2,116.4,88.1,115.0
30.7,27.6,43.2,49.7
44.2,96.6,84.8,105.7
44.1,118.3,91.4,117.3
41.3,12.2,51.2,54.7
27.4,86.9,63.8,83.8
29.6,37.8,44.3,51.9
41.3,14.5,45.4,50.6
27.9,54.3,47.7,59.8
24.2,110.3,89.9,111.1
33.9,11.3,37.5,42.0
43.4,74.7,76.6,93.1
37.4,65.2,66.4,81.2
34.3,106.1,77.9,99.5
22.4,19.2,27.8,34.3
35.4,85.0,68.0,87.0
44.8,84.8,81.2,98.9
23.5,83.6,55.8,75.1
33.0,113.7,80.7,108.2
41.9,100.5,83.1,102.4
38.5,14.6,44.5,46.3
37.4,61.8,60.7,77.9
37.6,53.8,58.9,70.8
29.0,44.1,47.0,56.5
27.3,59.6,53.3,65.4
40.2,52.3,59.4,72.3
40.3,57.6,62.7,78.8
41.7,117.7,88.9,112.6
42.8,19.7,52.1,55.9
32.8,111.4,75.5,98.6
32.5,62.8,55.0,69.6
40.0,78.6,72.7,91.0
36.2,101.3,73.7,97.8
37.5,49.7,60.0,71.3
39.9,57.3,62.5,78.4
42.3,55.0,61.2,72.2
28.4,51.2,48.0,57.6
29.4,111.8,74.9,100.5
22.3,101.2,61.8,83.3
34.5,22.0,43.3,45.8
20.9,21.9,31.1,35.1
31.6,57.1,54.1,66.5
33.6,20.9,40.0,43.6
27.2,78.1,57.8,72.7
34.8,25.8,47.9,52.7
20.8,67.5,51.1,63.4
20.9,10.8,21.2,24.8
40.6,44.8,60.7,67.0
29.0,84.5,63.3,81.1
23.2,63.2,50.3,64.2
33.1,107.4,87.3,110.5
39.2,106.2,78.2,102.5
25.4,49.5,46.4,54.6
35.6,15.0,39.7,42.0
22.1,103.0,60.6,82.0
21.3,110.2,62.7,87.2
33.3,100.3,74.6,95.9
33.5,24.1,43.4,51.7
35.9,119.8,85.4,109.2
38.2,38.4,54.9,60.7
44.4,89.7,79.4,101.0
32.9,109.9,76.7,97.7
28.1,35.9,41.4,50.1
39.9,109.9,83.4,105.1
26.8,44.0,42.5,48.8
31.0,117.4,78.7,102.7
22.0,40.9,40.5,50.2
20.6,114.9,65.0,87.4
44.1,15.9,53.0,56.9
40.9,88.0,76.3,95.9
37.4,68.5,65.3,77.7
30.2,62.6,51.9,65.0
24.3,34.6,34.6,44.5
23.9,87.6,59.2,78.6
26.3,31.0,40.2,46.2
33.7,70.8,60.7,76.3
37.9,37.9,56.3,62.9
36.5,115.1,84.0,109.7
27.0,13.1,30.4,35.1
43.9,32.0,56.7,63.6
38.4,36.7,58.1,65.6
33.9,55.5,53.6,64.0
35.3,35.6,50.6,55.9
30.5,64.0,55.5,68.4
26.2,106.0,70.0,92.0
28.9,88.3,66.8,86.7
38.9,73.8,67.7,84.7
20.4,19.8,30.5,34.7
22.9,86.3,61.9,81.4
21.2,28.3,32.6,37.1
21.0,96.5,61.2,82.9
41.4,37.5,55.2,62.0
37.6,55.9,60.0,73.6
31.9,48.6,50.9,61.1
22.4,104.5,65.8,84.6
32.3,23.9,44.3,50.1
31.8,72.2,60.5,76.9
24.3,25.6,37.6,42.0
30.8,87.5,68.9,86.4
30.0,109.6,75.5,98.1
35.4,57.8,57.5,66.8
35.9,63.7,60.1,70.1
21.1,112.0,64.3,90.0
29.4,67.3,58.2,70.9
35.6,63.6,58.7,75.1
32.6,73.6,63.4,80.8
41.4,85.8,73.6,94.2
36.5,21.8,46.8,50.2
24.1,100.3,64.2,82.9
21.8,57.9,47.6,57.9
36.1,18.0,45.5,48.4
20.7,96.5,62.1,78.5
34.6,114.6,92.5,108.1
43.5,21.0,52.2,56.3
34.4,79.7,64.0,79.0
29.7,106.8,70.3,91.4
36.1,107.7,75.0,97.7
31.5,115.3,75.4,100.4
33.6,105.4,76.0,96.8
43.5,10.2,46.5,49.2
29.7,51.8,50.0,61.1
44.0,100.0,85.0,106.0
42.6,50.3,62.1,71.8
24.9,76.2,53.1,67.3
21.7,76.7,52.3,71.0
22.5,50.2,40.8,52.4
20.5,109.5,63.7,88.3
22.4,120.6,86.3,110.5
37.1,61.1,61.0,73.6
21.8,119.7,73.2,98.7
28.0,64.3,56.6,67.0
41.1,29.6,51.8,56.5
20.6,66.4,44.9,57.9
40.4,99.5,80.1,100.3
27.0,95.5,67.5,86.0
23.0,96.7,60.7,81.6
37.4,87.9,74.4,92.8
35.7,38.0,53.3,63.1
41.9,104.8,82.3,108.2
38.4,108.3,80.3,101.3
40.1,31.4,54.1,60.7
27.1,24.4,37.1,42.4
24.4,117.3,70.0,94.7
38.8,105.5,80.3,100.9
40.2,108.3,83.3,104.7
44.8,116.7,85.3,109.1
30.3,69.6,59.7,72.7
29.3,81.1,60.8,78.2
39.4,70.0,61.8,76.7
28.5,15.6,34.7,38.2
43.3,92.0,78.6,96.6
41.5,65.6,71.1,84.7
30.7,122.3,85.8,107.9
38.8,65.3,62.7,76.9
38.9,64.1,65.5,80.9
22.6,28.9,32.8,39.4
42.6,40.7,57.3,66.4
32.6,27.5,44.6,51.5
40.7,31.5,51.2,55.9
28.0,117.0,71.9,99.3
42.4,26.8,56.6,60.3
29.7,39.6,46.7,56.3
20.3,75.0,49.7,66.6
42.6,77.1,73.5,88.3
22.3,26.9,34.1,41.1
28.0,97.3,68.9,89.8
43.8,96.4,80.8,104.0
43.8,36.1,58.9,66.7
34.3,41.8,50.0,58.7
35.8,113.2,80.7,103.7
31.2,100.8,71.9,90.4
27.3,86.8,62.0,79.8
28.2,19.0,37.3,40.7
36.8,56.0,60.2,72.2
38.8,71.5,64.4,77.6
39.8,30.6,49.3,55.7
39.7,59.3,62.7,76.1
22.3,76.1,56.4,73.0
32.4,46.0,49.1,56.1
21.4,95.9,59.4,80.6
33.7,102.4,73.6,94.9
31.0,45.6,48.2,57.6
42.2,102.3,83.4,101.3
28.8,21.4,40.1,46.6
22.9,102.2,64.7,86.3
23.6,26.8,32.7,36.2
39.0,19.1,52.2,56.2
35.5,80.6,67.9,85.3
22.5,61.9,46.1,61.1
22.1,109.9,68.9,91.2
37.5,50.0,56.6,67.2
21.8,41.6,41.8,49.2
40.5,65.1,64.8,79.6
37.7,60.2,64.6,75.7
22.0,47.9,41.6,50.3
22.1,86.3,59.2,77.0
44.7,93.6,85.9,103.3
29.4,103.8,68.6,93.1
29.3,117.0,78.6,105.8
40.3,39.3,53.2,61.1
43.7,88.8,77.1,93.9
44.7,53.4,64.4,76.3
38.8,84.5,73.6,90.6
29.4,62.4,54.4,69.3
22.1,119.3,69.5,93.4
39.4,90.2,75.8,95.5
34.0,114.8,81.1,105.2
30.6,101.8,72.7,92.9
42.7,109.3,88.6,111.7
22.8,99.6,66.3,88.1
32.3,60.5,56.5,69.3
20.3,37.7,34.3,42.5
31.7,50.7,53.2,62.5
21.4,12.2,24.0,28.5
23.0,67.6,48.7,64.6
22.9,65.6,51.2,64.1
36.2,67.8,63.1,77.2
38.7,117.1,83.1,110.1
34.6,110.3,75.7,97.5
44.1,27.8,55.3,62.0
29.4,50.6,51.9,61.4
27.1,56.6,52.1,66.4
41.7,49.7,61.8,72.3
25.6,97.8,68.7,90.8
44.1,67.6,70.9,84.0
20.3,72.9,49.2,62.7
44.2,103.8,80.6,102.6
21.1,98.7,59.6,80.8
42.3,24.5,53.8,58.0
33.2,88.5,71.7,91.1
44.8,120.5,85.8,108.8
21.8,42.4,39.7,45.4
33.8,15.5,42.1,46.0
44.2,63.6,69.7,81.7
33.1,49.1,48.2,58.4
35.7,37.7,51.3,61.5
37.4,86.4,73.5,94.1
31.4,94.6,67.3,86.5
35.7,36.9,50.0,58.6
34.6,125.1,87.4,108.2
42.5,103.4,78.7,100.5
21.1,11.1,27.6,28.8
27.0,110.8,86.0,105.2
43.8,79.0,78.6,95.0
42.3,45.4,62.1,71.9
31.4,37.1,45.5,52.4
35.5,100.6,85.5,106.1
26.9,35.9,42.4,49.2
24.7,25.2,36.7,40.8
31.6,77.3,63.2,80.1
28.8,28.3,42.4,45.8
34.6,68.1,61.3,77.0
21.9,74.9,49.9,65.2
44.4,42.8,61.3,71.8
44.7,13.9,50.6,55.4
37.5,14.1,40.7,44.9
33.4,12.9,35.9,37.6
27.7,91.3,65.2,82.4
40.3,45.0,57.5,64.9
37.1,97.6,75.8,98.0
24.1,57.5,46.3,58.3
42.8,59.8,69.7,81.1
40.6,66.4,69.7,83.2
43.7,88.4,76.6,97.1
38.1,40.1,53.1,62.8
35.3,23.4,46.4,51.8
30.5,71.2,60.1,75.9
43.3,46.0,61.6,71.6
41.7,58.7,62.8,75.8
21.1,81.2,52.2,69.7
20.7,64.4,45.4,59.0
29.4,78.2,61.3,78.8
40.3,69.9,71.6,86.5
44.7,91.4,79.9,97.9
23.8,87.7,56.8,76.2
34.9,68.8,62.1,77.0
29.5,84.7,65.5,84.0
44.2,106.1,83.8,106.2
41.1,57.5,67.0,80.0
41.0,55.4,62.8,74.4
31.7,94.1,67.9,88.9
30.4,74.1,56.8,72.0
26.8,17.8,35.4,38.4
21.4,108.1,64.3,88.0
41.6,13.4,47.3,49.6
40.3,92.3,75.5,98.3
45.0,93.5,81.7,102.3
44.9,114.8,89.9,114.1
33.9,16.0,40.1,44.7
39.2,75.7,68.1,83.4
43.6,57.1,63.4,77.1
41.2,46.4,65.2,75.8
26.2,19.9,31.4,37.8
31.3,71.9,60.4,74.8
23.2,62.7,44.8,56.4
43.9,21.5,48.5,52.5
35.2,77.4,66.3,82.1
25.7,91.2,62.5,84.1
36.8,94.4,77.1,99.9
35.5,124.7,90.6,108.9
29.0,55.0,50.7,62.3
22.8,114.8,66.9,90.7
36.8,105.2,81.9,104.9
33.0,42.6,51.9,64.0
39.3,27.5,47.8,56.5
33.0,57.9,56.2,70.1
41.3,54.2,63.3,76.3
33.8,73.3,62.4,79.2
34.0,74.2,65.2,80.6
41.9,92.5,80.6,98.7
30.1,66.1,56.1,70.0
23.4,21.5,31.4,36.6
20.7,104.4,65.5,84.9
38.9,44.1,58.4,67.2
35.5,116.8,82.4,105.7
37.6,23.0,43.5,50.2
25.3,115.4,72.2,95.5
23.4,20.0,32.8,37.4
20.4,35.4,29.0,36.0
28.8,15.1,35.3,40.8
34.7,87.6,68.9,84.9
29.8,103.5,70.8,93.3
30.9,57.7,52.2,62.6
42.6,112.1,87.2,110.0
28.7,74.9,61.5,77.2
32.8,79.3,63.7,80.8
39.6,103.0,82.7,104.5
29.9,42.6,45.4,54.7
35.6,49.0,56.7,65.8
41.6,109.7,85.4,108.2
43.7,109.1,88.1,111.0
23.7,117.4,70.7,95.6
43.2,109.2,88.1,110.8
32.3,24.0,36.8,43.4
26.5,100.6,63.9,85.4
31.5,55.1,54.3,66.1
44.5,119.0,88.0,112.8
32.3,62.0,56.0,67.6
28.2,70.9,56.5,71.6
35.8,68.3,61.5,77.8
26.0,45.4,42.8,53.1
21.9,18.3,29.7,32.3
23.2,108.5,68.6,92.5
23.2,98.3,60.6,80.9
23.8,25.3,32.8,39.3
23.5,95.4,60.2,79.8
36.0,78.8,62.7,80.3
24.5,55.0,46.8,57.6
28.6,37.9,45.7,52.7
42.4,112.8,87.4,109.4
31.8,105.7,88.7,112.5
36.7,70.3,62.3,77.8
24.3,77.1,55.2,72.0
24.8,20.0,34.5,38.9
21.0,62.1,46.2,58.1
24.2,31.3,37.3,45.3
27.0,32.9,42.4,50.6
24.4,82.7,56.0,72.4
22.2,110.2,65.9,89.9
23.0,54.4,48.1,60.5
31.5,32.9,44.3,50.5
25.2,81.4,55.2,72.1
29.1,105.8,70.1,93.3
32.6,92.3,67.6,84.9
37.3,105.6,80.2,100.7
21.0,69.0,46.8,60.0
40.0,92.7,77.6,94.3
35.7,25.4,44.4,51.5
22.0,48.3,37.1,44.7
41.8,52.9,63.6,75.1
43.0,66.2,69.8,84.9
21.5,112.2,67.4,90.5
26.9,106.2,68.0,89.5
40.2,24.8,48.5,54.2
38.7,29.0,51.1,57.1
24.6,49.3,47.4,59.0
25.2,42.0,42.0,46.9
29.3,77.6,61.2,76.0
32.1,109.3,75.2,99.1
35.5,115.9,78.7,103.4
29.2,81.9,63.9,82.0
31.6,102.2,74.3,95.9
38.7,67.8,67.2,81.1
20.9,32.9,33.7,40.2
26.3,67.7,54.6,72.2
37.8,71.1,68.0,85.1
42.4,128.4,90.1,105.2
32.8,34.2,48.4,55.5
33.3,50.5,53.6,65.0
22.7,50.0,40.1,52.1
31.2,115.5,77.7,102.6
33.3,58.8,57.4,68.5
26.1,93.1,64.7,86.8
26.7,92.6,66.5,86.0
29.4,39.2,44.9,56.2
20.5,72.9,53.9,69.0
28.1,108.4,67.9,90.6
25.3,62.3,51.0,66.1
28.2,124.9,88.7,106.8
23.0,33.6,32.6,40.3
42.3,18.2,49.1,51.2
34.8,108.1,75.1,99.1
37.0,103.2,78.0,98.9
39.7,119.2,87.5,111.8
32.5,126.2,91.9,115.1
22.2,113.0,64.4,89.1
33.4,101.0,75.6,94.3
34.7,102.9,76.0,97.3
38.6,72.6,69.7,86.2
30.8,52.1,50.8,59.9
23.2,112.8,65.6,89.9
27.1,57.5,47.7,59.1
29.1,69.3,54.2,68.4
36.1,59.1,60.7,75.5
34.3,72.1,66.1,78.5
28.9,61.8,52.5,66.7
44.7,15.3,52.0,54.4
35.1,107.0,74.9,96.9
25.9,58.9,49.8,60.5
22.5,74.8,53.8,70.5
23.8,25.3,31.0,36.4
26.1,10.4,29.9,31.6
24.0,37.0,40.2,48.0
24.7,87.5,53.8,72.5
27.1,20.9,38.2,39.3
24.3,110.0,69.0,91.3
42.4,33.7,57.3,65.6
22.0,32.5,34.2,38.8
33.1,30.0,41.7,46.7
30.3,11.5,35.9,37.6
44.6,94.9,82.4,101.2
22.8,106.3,65.4,87.6
29.9,77.6,63.1,77.6
44.2,30.7,58.0,63.8
41.6,127.6,90.1,110.7
40.4,62.4,65.7,79.7
26.4,115.0,71.1,97.2
24.3,37.2,38.8,46.2
36.7,90.5,73.7,95.5
43.2,58.3,68.6,80.4
33.9,42.8,48.1,58.6
34.3,60.2,58.4,73.9
27.0,17.8,37.4,41.0
39.2,97.9,77.9,96.4
24.7,36.8,41.2,48.9
28.1,89.8,65.0,82.8
30.6,17.5,39.6,42.6
32.7,115.1,77.1,104.4
26.1,31.2,36.9,41.8
22.9,107.1,65.8,88.7
35.3,101.1,86.8,106.5
27.2,116.5,73.3,97.3
34.5,62.6,60.1,74.3
23.9,90.0,63.4,82.5
32.0,50.8,53.1,63.4
33.3,30.3,46.7,51.9
21.3,58.7,47.1,59.7
28.4,28.2,37.8,46.5
23.4,118.0,70.2,93.7
21.6,20.6,34.7,41.4
44.7,74.8,74.5,92.0
28.1,78.9,61.9,80.3
40.2,69.2,69.8,84.6
26.4,82.8,56.5,76.0
37.0,22.8,46.8,50.0
39.0,71.1,67.7,81.6
34.9,41.6,52.2,62.0
31.8,113.4,75.6,100.1
30.3,93.8,65.6,85.3
28.7,117.0,74.6,95.5
43.2,14.1,48.7,51.0
40.8,41.4,59.7,66.4
44.1,31.5,60.4,67.3
23.1,11.2,30.4,32.2
38.3,36.7,54.7,61.2
43.5,84.7,75.3,97.3
24.5,35.4,37.9,47.0
21.7,66.0,48.5,63.9
38.5,107.7,80.3,106.4
34.4,86.3,70.0,89.3
41.0,53.4,63.9,73.8
23.5,51.0,45.0,54.2
39.9,60.1,66.0,79.9
25.0,29.5,35.0,38.3
24.1,79.7,57.9,74.3
24.1,50.1,42.7,50.1
40.4,103.8,80.0,102.1
36.6,93.2,75.0,95.7
33.1,77.2,66.4,82.7
29.0,50.1,50.0,61.8
41.9,33.1,55.2,65.1
29.8,95.4,68.6,88.3
40.4,63.5,66.1,83.6
31.0,34.7,42.6,50.5
29.4,31.5,39.5,47.8
31.6,28.2,42.7,47.7
27.5,95.5,65.9,88.4
38.7,35.2,52.8,61.7
32.6,67.9,61.1,77.4
25.8,59.7,49.2,61.9
42.5,73.8,73.1,86.6
29.6,106.5,71.9,95.0
33.6,105.5,79.4,98.7
42.7,59.6,66.7,78.7
35.6,11.7,45.0,47.2
22.9,56.9,46.4,61.8
43.5,76.7,73.7,90.4
35.7,71.4,62.4,77.8
28.4,81.6,58.1,75.5
23.5,26.9,32.3,36.1
39.9,81.1,70.5,87.9
35.5,30.1,48.3,54.7
33.3,92.6,69.3,87.4
42.3,47.3,61.6,69.8
39.7,88.1,77.5,95.0
23.8,15.3,29.7,33.0
27.8,54.9,53.9,64.3
26.2,87.6,58.9,75.9
38.6,35.0,52.3,60.1
20.8,97.5,58.8,80.1
34.2,79.4,67.9,84.5
39.1,74.6,64.4,79.7
41.9,48.9,58.6,70.0
28.6,63.1,53.6,66.5
40.5,75.7,73.9,87.7
22.8,62.0,48.0,62.5
41.2,86.8,73.2,92.2
23.2,57.7,43.9,56.1
29.9,32.3,46.2,50.3
39.9,33.5,52.1,58.2
23.7,10.6,26.1,31.6
25.7,43.1,45.9,52.4
38.1,92.4,77.0,95.9
38.0,97.4,79.5,99.7
36.0,32.3,47.0,54.5
37.3,115.5,80.5,102.8
33.6,65.3,59.9,73.9
26.3,110.9,71.3,92.0
28.6,87.7,64.5,83.0
24.5,89.5,63.3,80.8
42.7,19.4,47.0,50.1
34.6,34.2,50.0,58.2
30.0,11.0,32.2,34.4
31.6,88.8,68.8,88.0
43.7,47.9,61.9,72.8
23.8,96.5,60.8,83.2
34.7,47.3,52.3,60.6
32.6,100.1,69.8,92.5
35.3,24.4,45.1,50.3
20.5,29.1,30.5,36.2
41.8,47.5,62.4,70.5
43.3,54.9,66.6,78.9
34.1,48.4,56.8,65.3
37.4,94.0,75.7,96.2
43.1,20.7,52.4,59.5
37.7,48.6,59.9,71.3
23.8,102.1,63.4,87.0
34.4,17.3,38.4,41.2
35.2,113.7,81.0,106.0
30.6,118.5,75.2,98.6
38.4,19.7,51.2,54.5
43.4,42.0,63.1,74.2
43.1,51.0,67.9,77.2
31.3,95.4,69.6,91.2
22.8,75.6,54.2,71.4
44.6,80.9,76.1,94.7
41.0,93.3,80.1,97.6
23.1,23.0,29.9,35.7
43.0,101.7,78.6,100.2
41.7,87.6,75.2,95.4
33.0,73.5,59.5,72.7
34.8,107.9,80.9,103.8
30.0,87.0,68.4,86.7
21.4,32.2,31.4,35.5
28.4,57.3,53.9,64.3
40.1,64.3,67.7,78.3
20.1,16.1,23.4,26.0
28.3,115.0,73.6,98.6
30.0,24.1,38.5,43.9
33.4,86.7,69.6,87.9
43.0,65.7,66.8,79.3
28.7,12.8,33.6,38.0
28.7,111.7,72.0,95.6
38.4,103.7,80.9,102.6
31.3,67.7,57.9,73.6
25.6,35.2,38.6,44.6
31.3,23.4,40.2,45.5
23.5,50.0,47.6,58.3
24.4,38.1,38.8,46.1
32.5,65.7,56.7,71.7
30.5,116.3,78.2,103.2
42.9,73.2,71.9,87.1
29.1,107.9,69.4,92.1
34.5,81.6,71.6,89.1
35.8,62.3,60.0,74.3
20.3,104.0,61.2,83.2
36.6,61.9,61.6,76.3
24.5,105.5,70.1,92.9
44.0,42.1,57.5,64.0
23.7,24.2,33.9,36.8
30.4,104.1,76.2,99.4
22.1,74.6,52.2,67.5
44.9,107.8,85.6,108.7
32.6,113.2,76.6,102.2
34.9,15.9,41.7,44.9
21.7,65.1,50.4,63.8
38.7,51.2,58.6,68.1
25.2,78.8,58.4,75.4
42.5,97.3,78.5,100.1
25.1,40.9,38.6,46.6
24.8,71.2,52.3,66.0
20.9,88.0,59.0,81.1
31.8,24.8,41.9,46.9
34.1,99.5,74.5,94.3
21.6,76.7,52.9,70.0
39.4,114.4,87.4,111.1
31.3,47.3,49.1,57.5
33.1,21.9,43.2,48.4
31.0,65.7,55.6,68.3
30.0,19.4,41.8,47.8
34.0,116.6,79.0,104.4
23.9,14.3,27.8,30.6
24.5,92.9,62.8,82.4
41.5,67.8,68.8,84.4
